factors	triplet	singlet
9.776553106212424e-1	1.015137690658509e2	5.7530466793870886e1
9.778557114228457e-1	1.0207860304974244e2	5.825572524766355e1
9.780561122244489e-1	1.0264716152048226e2	5.897871583649433e1
9.782565130260521e-1	1.0321953193763528e2	5.96996091710701e1
9.784569138276553e-1	1.0379580394617759e2	6.0418574278042094e1
9.786573146292585e-1	1.0437606902164532e2	6.113577804549641e1
9.788577154308618e-1	1.049604205222639e2	6.185138597337992e1
9.79058116232465e-1	1.0554894810819096e2	6.2565561748921795e1
9.792585170340681e-1	1.0614176069980019e2	6.3278468736037965e1
9.794589178356713e-1	1.067389522333698e2	6.3990264805347685e1
9.796593186372745e-1	1.0734062457380617e2	6.470111354871398e1
9.798597194388777e-1	1.0794688191276377e2	6.541117372507395e1
9.80060120240481e-1	1.0855783068629032e2	6.612061011712365e1
9.802605210420842e-1	1.0917357996199776e2	6.68295666170502e1
9.804609218436874e-1	1.0979424126640794e2	6.753820714619779e1
9.806613226452906e-1	1.1041992874940519e2	6.824668877857911e1
9.808617234468938e-1	1.1105075948512216e2	6.895516901435968e1
9.810621242484969e-1	1.116868527135591e2	6.966380279599775e1
9.812625250501001e-1	1.1232833137928564e2	7.037274752326864e1
9.814629258517034e-1	1.1297532134084679e2	7.108216012401108e1
9.816633266533066e-1	1.1362795061577724e2	7.179219757672904e1
9.818637274549098e-1	1.1428635151064863e2	7.250301608669658e1
9.82064128256513e-1	1.1495065193875956e2	7.321477684782805e1
9.822645290581162e-1	1.1562100523672376e2	7.392763729274469e1
9.824649298597194e-1	1.1629755158790175e2	7.464175755391895e1
9.826653306613227e-1	1.1698042649356053e2	7.53572993859639e1
9.828657314629259e-1	1.1766978498271884e2	7.607442234950557e1
9.830661322645291e-1	1.1836577653830435e2	7.679329008385689e1
9.832665330661322e-1	1.190685677725546e2	7.751407135121407e1
9.834669338677354e-1	1.1977831644459886e2	7.823692849551277e1
9.836673346693386e-1	1.2049519356674959e2	7.896203107493297e1
9.838677354709419e-1	1.2121936129645003e2	7.968954969825188e1
9.840681362725451e-1	1.2195100004024802e2	8.041965647538525e1
9.842685370741483e-1	1.2269028648770019e2	8.115252635859494e1
9.844689378757515e-1	1.234374190681313e2	8.188833443048618e1
9.846693386773547e-1	1.2419257645112496e2	8.262726378082992e1
9.84869739478958e-1	1.24955959642133e2	8.336949540534633e1
9.850701402805611e-1	1.2572777102803049e2	8.411521492575748e1
9.852705410821643e-1	1.2650821584074276e2	8.486461154956979e1
9.854709418837675e-1	1.272975130207866e2	8.561787611029396e1
9.856713426853707e-1	1.280958843666582e2	8.637520497540244e1
9.858717434869739e-1	1.2890354875149373e2	8.713681863907175e1
9.860721442885771e-1	1.297207542163601e2	8.79028760611528e1
9.862725450901804e-1	1.3054773914903578e2	8.867361429482685e1
9.864729458917836e-1	1.3138474598101357e2	8.944923727350512e1
9.866733466933868e-1	1.3223203518399598e2	9.022996451609292e1
9.8687374749499e-1	1.3308987191320793e2	9.101601893444031e1
9.870741482965932e-1	1.3395851265909167e2	9.180762553000534e1
9.872745490981963e-1	1.3483829121466152e2	9.26050207614049e1
9.874749498997996e-1	1.3572943128008305e2	9.34084247148866e1
9.876753507014028e-1	1.366322749992507e2	9.421811675740426e1
9.87875751503006e-1	1.3754716060183802e2	9.503434993836804e1
9.880761523046092e-1	1.384743472926666e2	9.58573443711167e1
9.882765531062124e-1	1.3941419710261133e2	9.668738467047471e1
9.884769539078156e-1	1.4036705141930156e2	9.75247440065918e1
9.886773547094189e-1	1.4133326576845624e2	9.836970306083522e1
9.888777555110221e-1	1.4231320790193536e2	9.922255113987106e1
9.890781563126252e-1	1.433072581280477e2	1.0008358635838161e2
9.892785571142284e-1	1.4431581068081292e2	1.0095311590924399e2
9.894789579158316e-1	1.453392734788161e2	1.0183145543339757e2
9.896793587174348e-1	1.4637806943389518e2	1.0271893476501047e2
9.898797595190381e-1	1.4743263658045447e2	1.0361589043390507e2
9.900801603206413e-1	1.4850342928531813e2	1.0452267203023158e2
9.902805611222445e-1	1.4959091856007822e2	1.0543963960348178e2
9.904809619238477e-1	1.50695593782591e2	1.06367168441577e2
9.906813627254509e-1	1.5181796110068183e2	1.0730564250557379e2
9.908817635270541e-1	1.5295854772010156e2	1.0825546494540474e2
9.910821643286574e-1	1.5411789069042607e2	1.0921704871980279e2
9.912825651302605e-1	1.5529657844783094e2	1.1019082579137182e2
9.914829659318637e-1	1.5649519136629806e2	1.1117724229170487e2
9.916833667334669e-1	1.5771434493450792e2	1.121767619529134e2
9.918837675350701e-1	1.589546766784309e2	1.1318986637751841e2
9.920841683366733e-1	1.6021685281860263e2	1.14217055484501e2
9.922845691382766e-1	1.6150156582997482e2	1.1525885140810036e2
9.924849699398798e-1	1.6280953610222832e2	1.1631579465336641e2
9.92685370741483e-1	1.641415157907075e2	1.173884513232383e2
9.928857715430862e-1	1.6549828823034457e2	1.1847740712575656e2
9.930861723446893e-1	1.6688067069670842e2	1.195832756643281e2
9.932865731462925e-1	1.6828951583878577e2	1.2070669550715115e2
9.934869739478958e-1	1.697257138862731e2	1.2184833444978591e2
9.93687374749499e-1	1.711901944778216e2	1.2300888857793447e2
9.938877755511022e-1	1.7268392914446468e2	1.2418908614454867e2
9.940881763527054e-1	1.7420793369082963e2	1.2538968836583769e2
9.942885771543086e-1	1.7576327070539006e2	1.2661149184482959e2
9.944889779559118e-1	1.7735105203171128e2	1.2785532887501738e2
9.946893787575151e-1	1.7897244196934722e2	1.2912207648443456e2
9.948897795591183e-1	1.8062866055284576e2	1.3041264905119468e2
9.950901803607215e-1	1.8232098667818985e2	1.3172800771179098e2
9.952905811623246e-1	1.8405076167238445e2	1.330691612016914e2
9.954909819639278e-1	1.8581939128205903e2	1.3443716974999234e2
9.95691382765531e-1	1.876283579682631e2	1.35833147037632e2
9.958917835671343e-1	1.894792131723124e2	1.3725826569568687e2
9.960921843687375e-1	1.9137359038226353e2	1.3871377284400722e2
9.962925851703407e-1	1.9331320799427013e2	1.4020094229139633e2
9.964929859719439e-1	1.952998753177484e2	1.4172115863086367e2
9.966933867735471e-1	1.9733549873735052e2	1.4327586917015287e2
9.968937875751503e-1	1.994220879192227e2	1.448666015488478e2
9.970941883767535e-1	2.0156176302973427e2	1.4649496176101337e2
9.972945891783567e-1	2.0375676271598434e2	1.481626776512259e2
9.974949899799599e-1	2.0600945235788018e2	1.4987154840701788e2
9.976953907815631e-1	2.0832233305524673e2	1.5162349124439828e2
9.978957915831663e-1	2.1069805170313342e2	1.534205400278787e2
9.980961923847695e-1	2.131394117309462e2	1.5526485172152016e2
9.982965931863728e-1	2.1564938480618818e2	1.5715872329902942e2
9.98496993987976e-1	2.1823112380483118e2	1.5910459510084377e2
9.986973947895792e-1	2.2088797669741885e2	1.6110506532784348e2
9.988977955911824e-1	2.236234936336892e2	1.6316290583352142e2
9.990981963927856e-1	2.2644147720253858e2	1.652810688543456e2
9.992985971943887e-1	2.29345950537458e2	1.6746271319751892e2
9.99498997995992e-1	2.3234121144580638e2	1.6971121761188323e2
9.996993987975952e-1	2.3543184601777685e2	1.720301946553854e2
