distance	triplet	singlet
1.4050251256281408e1	-3.6611677452256657e-4	-3.922620670044822e-4
1.4130653266331658e1	-3.5492474251039486e-4	-3.7933968542959597e-4
1.421105527638191e1	-3.4409553193548567e-4	-3.6690350271685704e-4
1.4291457286432161e1	-3.336182885406162e-4	-3.549332427868041e-4
1.4371859296482413e1	-3.234822995748546e-4	-3.434095377621266e-4
1.4452261306532664e1	-3.1367701810409727e-4	-3.3231388609027054e-4
1.4532663316582914e1	-3.0419208311610076e-4	-3.2162861249884344e-4
1.4613065326633166e1	-2.950173359423978e-4	-3.113368297260593e-4
1.4693467336683417e1	-2.8614283345915084e-4	-3.0142240196665227e-4
1.4773869346733669e1	-2.775588584755538e-4	-2.9186990997258274e-4
1.485427135678392e1	-2.6925592767107156e-4	-2.8266461774738375e-4
1.493467336683417e1	-2.612247974008659e-4	-2.737924407729983e-4
1.5015075376884422e1	-2.5345646765160114e-4	-2.652399157083897e-4
1.5095477386934673e1	-2.459421843968938e-4	-2.5699417149997256e-4
1.5175879396984925e1	-2.3867344057247183e-4	-2.490429018449455e-4
1.5256281407035177e1	-2.3164197586524117e-4	-2.41374338949872e-4
1.5336683417085426e1	-2.2483977548750953e-4	-2.339772285282792e-4
1.5417085427135678e1	-2.182590680872812e-4	-2.2684080598260934e-4
1.549748743718593e1	-2.118923229275044e-4	-2.199547737175189e-4
1.5577889447236181e1	-2.057322464511617e-4	-2.1330927953324728e-4
1.5658291457286433e1	-1.9977177833492574e-4	-2.0689489604955593e-4
1.5738693467336683e1	-1.940040871215365e-4	-2.0070260111253782e-4
1.5819095477386934e1	-1.8842256550992133e-4	-1.94723759138407e-4
1.5899497487437186e1	-1.8302082537221469e-4	-1.889501033501845e-4
1.5979899497487438e1	-1.7779269255808992e-4	-1.8337371886498148e-4
1.6060301507537687e1	-1.7273220153907686e-4	-1.7798702659134626e-4
1.614070351758794e1	-1.6783358993868234e-4	-1.7278276789786662e-4
1.622110552763819e1	-1.630912929880695e-4	-1.6775399001591357e-4
1.6301507537688444e1	-1.5849993794167795e-4	-1.6289403214104765e-4
1.6381909547738694e1	-1.540543384824356e-4	-1.5819651219921968e-4
1.6462311557788944e1	-1.4974948914200781e-4	-1.5365531424542964e-4
1.6542713567839197e1	-1.455805597578431e-4	-1.4926457646401503e-4
1.6623115577889447e1	-1.415428899855009e-4	-1.4501867974117363e-4
1.67035175879397e1	-1.376319838818724e-4	-1.4091223678171328e-4
1.678391959798995e1	-1.338435045723776e-4	-1.369400817433612e-4
1.68643216080402e1	-1.301732690129852e-4	-1.3309726036323617e-4
1.6944723618090453e1	-1.2661724285595457e-4	-1.2937902055232159e-4
1.7025125628140703e1	-1.231715354264784e-4	-1.2578080343494854e-4
1.7105527638190956e1	-1.1983239481590205e-4	-1.2229823481141935e-4
1.7185929648241206e1	-1.1659620309588956e-4	-1.1892711702298295e-4
1.7266331658291456e1	-1.1345947165675269e-4	-1.1566342119938933e-4
1.734673366834171e1	-1.1041883667217349e-4	-1.1250327987023753e-4
1.742713567839196e1	-1.074710546916814e-4	-1.0944297992225819e-4
1.7507537688442213e1	-1.0461299836150091e-4	-1.0647895588556195e-4
1.7587939698492463e1	-1.018416522737465e-4	-1.0360778353273491e-4
1.7668341708542712e1	-9.915410894338421e-5	-1.0082617377546215e-4
1.7748743718592966e1	-9.654756491191505e-5	-9.813096684413357e-5
1.7829145728643216e1	-9.401931697633268e-5	-9.551912673661143e-5
1.790954773869347e1	-9.15667585415706e-5	-9.298773592303206e-5
1.798994974874372e1	-8.91873760943799e-5	-9.053399029417915e-5
1.807035175879397e1	-8.687874579633759e-5	-8.815519434158343e-5
1.8150753768844222e1	-8.463853019350543e-5	-8.584875655810758e-5
1.8231155778894472e1	-8.246447504010246e-5	-8.361218504833455e-5
1.8311557788944725e1	-8.035440623343664e-5	-8.144308333861536e-5
1.8391959798994975e1	-7.83062268572553e-5	-7.933914637714513e-5
1.8472361809045225e1	-7.631791433060347e-5	-7.729815671491453e-5
1.855276381909548e1	-7.438751765924237e-5	-7.531798085884838e-5
1.8633165829145728e1	-7.25131547866531e-5	-7.339656578887548e-5
1.871356783919598e1	-7.069301004164309e-5	-7.153193563108748e-5
1.879396984924623e1	-6.89253316795824e-5	-6.972218847953995e-5
1.887437185929648e1	-6.720842951431143e-5	-6.796549335961654e-5
1.8954773869346734e1	-6.554067263779431e-5	-6.626008732623495e-5
1.9035175879396984e1	-6.39204872246277e-5	-6.46042726905059e-5
1.9115577889447238e1	-6.234635441855886e-5	-6.299641436877381e-5
1.9195979899497488e1	-6.0816808298221014e-5	-6.143493734827305e-5
1.9276381909547737e1	-5.9330433919345526e-5	-5.9918324263915e-5
1.935678391959799e1	-5.7885865430774074e-5	-5.844511308099703e-5
1.943718592964824e1	-5.64817842616552e-5	-5.701389487887981e-5
1.9517587939698494e1	-5.511691737727427e-5	-5.562331173092316e-5
1.9597989949748744e1	-5.379003560103674e-5	-5.427205467620581e-5
1.9678391959798994e1	-5.249995200018856e-5	-5.295886177876998e-5
1.9758793969849247e1	-5.124552033293133e-5	-5.168251627034461e-5
1.98391959798995e1	-5.0025633554656806e-5	-5.0441844772696505e-5
1.991959798994975e1	-4.883922238109633e-5	-4.923571559594762e-5
2e1	-4.768525390625e-5	-4.8063037109375e-5
